param n :=  40;
param m :=   5;

param y :=
  1  -1.187e+01 
  2  -1.127e+01 
  3  -1.020e+01 
  4  -8.490e+00 
  5  -9.849e+00 
  6  -1.095e+01 
  7  -8.544e+00 
  8  -1.076e+01 
  9  -1.014e+01 
 10  -1.139e+01 
 11  -8.838e+00 
 12  -1.151e+01 
 13  -9.560e+00 
 14  -1.151e+01 
 15  -1.225e+01 
 16  -1.174e+01 
 17  -1.181e+01 
 18  -1.039e+01 
 19  -1.036e+01 
 20  -1.058e+01 
 21  -8.455e+00 
 22  -8.185e+00 
 23  -9.770e+00 
 24  -8.430e+00 
 25  -1.097e+01 
 26  -8.246e+00 
 27  -1.137e+01 
 28  -1.152e+01 
 29  -1.112e+01 
 30  -1.248e+01 
 31  -9.547e+00 
 32  -1.143e+01 
 33  -8.826e+00 
 34  -8.938e+00 
 35  -1.166e+01 
 36  -8.608e+00 
 37  -9.889e+00 
 38  -1.309e+01 
 39  -8.986e+00 
 40  -9.062e+00 
;

param x :        1         2         3         4         5 := 
       1 5.350e+00 5.407e+00 5.665e+00 5.576e+00 5.942e+00 
       2 5.364e+00 5.003e+00 5.756e+00 5.450e+00 5.170e+00 
       3 5.788e+00 5.838e+00 5.590e+00 5.203e+00 5.254e+00 
       4 5.532e+00 5.167e+00 5.027e+00 5.333e+00 5.806e+00 
       5 5.641e+00 5.754e+00 5.487e+00 5.040e+00 5.654e+00 
       6 5.478e+00 5.313e+00 5.604e+00 5.390e+00 5.957e+00 
       7 5.592e+00 5.760e+00 5.057e+00 5.312e+00 5.146e+00 
       8 5.310e+00 5.788e+00 5.510e+00 5.265e+00 5.786e+00 
       9 5.676e+00 5.260e+00 5.619e+00 5.420e+00 5.086e+00 
      10 5.835e+00 5.747e+00 5.846e+00 5.401e+00 5.525e+00 
      11 5.980e+00 5.942e+00 5.391e+00 5.067e+00 5.142e+00 
      12 5.610e+00 5.846e+00 5.823e+00 5.299e+00 5.808e+00 
      13 5.470e+00 5.126e+00 5.396e+00 5.067e+00 5.807e+00 
      14 5.237e+00 5.002e+00 5.695e+00 5.468e+00 5.831e+00 
      15 5.146e+00 5.330e+00 5.803e+00 5.548e+00 5.420e+00 
      16 5.303e+00 5.416e+00 5.534e+00 5.725e+00 5.867e+00 
      17 5.495e+00 5.502e+00 5.702e+00 5.725e+00 5.581e+00 
      18 5.647e+00 5.218e+00 5.443e+00 5.775e+00 5.112e+00 
      19 5.839e+00 5.805e+00 5.543e+00 5.521e+00 5.338e+00 
      20 5.013e+00 5.160e+00 5.365e+00 5.395e+00 5.984e+00 
      21 5.954e+00 5.988e+00 5.003e+00 5.469e+00 5.814e+00 
      22 5.881e+00 5.672e+00 5.104e+00 5.428e+00 5.017e+00 
      23 5.507e+00 5.487e+00 5.129e+00 5.713e+00 5.704e+00 
      24 5.817e+00 5.482e+00 5.138e+00 5.211e+00 5.514e+00 
      25 5.536e+00 5.189e+00 5.578e+00 5.721e+00 5.104e+00 
      26 5.963e+00 5.835e+00 5.067e+00 5.181e+00 5.667e+00 
      27 5.739e+00 5.736e+00 5.616e+00 5.911e+00 5.205e+00 
      28 5.898e+00 5.789e+00 5.551e+00 5.985e+00 5.766e+00 
      29 5.907e+00 5.466e+00 5.856e+00 5.404e+00 5.305e+00 
      30 5.976e+00 5.961e+00 5.962e+00 5.965e+00 5.027e+00 
      31 5.453e+00 5.982e+00 5.102e+00 5.355e+00 5.807e+00 
      32 5.165e+00 5.733e+00 5.572e+00 5.397e+00 5.847e+00 
      33 5.016e+00 5.452e+00 5.029e+00 5.195e+00 5.172e+00 
      34 5.452e+00 5.349e+00 5.133e+00 5.329e+00 5.342e+00 
      35 5.044e+00 5.622e+00 5.548e+00 5.545e+00 5.379e+00 
      36 5.542e+00 5.290e+00 5.157e+00 5.144e+00 5.498e+00 
      37 5.718e+00 5.145e+00 5.501e+00 5.416e+00 5.433e+00 
      38 5.172e+00 5.586e+00 5.999e+00 5.688e+00 5.019e+00 
      39 5.318e+00 5.056e+00 5.240e+00 5.220e+00 5.008e+00 
      40 5.801e+00 5.008e+00 5.386e+00 5.211e+00 5.654e+00 
; 
